run_id,arm,task,dataset,version,split,attempted,model,seed,n_train,n_test,n_features,duplicates_removed,fit_seconds,macro_f1,weighted_f1,balanced_acc,mcc,accuracy,attack_recall,attack_precision,benign_fpr
00b59c7abd67,A,multiclass,2017,improved,day_ordered,as_benign,logreg,73,1190337,582778,85,3,35.2,0.2498997930630192,0.9995991722520768,0.9991986657011761,0.0,0.9991986657011761,,,
0cb13331ffd8,A,multiclass,2017,improved,day_ordered,as_benign,random_forest,11,1190337,582778,85,3,86.9,0.49999957101981457,0.9999991420396291,0.9999982840807305,0.0,0.9999982840807305,,,
a9b1bfa3d805,A,multiclass,2017,improved,day_ordered,as_benign,random_forest,23,1190337,582778,85,3,86.6,0.49999957101981457,0.9999991420396291,0.9999982840807305,0.0,0.9999982840807305,,,
88088c83e25b,A,multiclass,2017,improved,day_ordered,as_benign,random_forest,37,1190337,582778,85,3,84.8,0.49999957101981457,0.9999991420396291,0.9999982840807305,0.0,0.9999982840807305,,,
0f053f2e6463,A,multiclass,2017,improved,day_ordered,as_benign,random_forest,51,1190337,582778,85,3,87.6,0.49999957101981457,0.9999991420396291,0.9999982840807305,0.0,0.9999982840807305,,,
68963afe9fbc,A,multiclass,2017,improved,day_ordered,as_benign,random_forest,73,1190337,582778,85,3,86.9,0.49999957101981457,0.9999991420396291,0.9999982840807305,0.0,0.9999982840807305,,,
fb5238caa460,A,multiclass,2017,improved,day_ordered,as_benign,xgboost,11,1190337,582778,85,3,38.1,0.3333321893832279,0.9999965681496835,0.9999931363229223,0.0,0.9999931363229223,,,
aa3e734fc2e6,A,multiclass,2017,improved,day_ordered,as_benign,xgboost,23,1190337,582778,85,3,37.8,0.3333321893832279,0.9999965681496835,0.9999931363229223,0.0,0.9999931363229223,,,
3ad0510999d2,A,multiclass,2017,improved,day_ordered,as_benign,xgboost,37,1190337,582778,85,3,37.9,0.3333321893832279,0.9999965681496835,0.9999931363229223,0.0,0.9999931363229223,,,
cdb28f15937a,A,multiclass,2017,improved,day_ordered,as_benign,xgboost,51,1190337,582778,85,3,38.4,0.3333321893832279,0.9999965681496835,0.9999931363229223,0.0,0.9999931363229223,,,
04e8c8250cbe,A,multiclass,2017,improved,day_ordered,as_benign,xgboost,73,1190337,582778,85,3,51.9,0.3333321893832279,0.9999965681496835,0.9999931363229223,0.0,0.9999931363229223,,,
34bc24dea4f2,A,multiclass,2017,improved,day_ordered,dropped,logreg,11,1184422,576714,85,3,34.1,0.33321075497858926,0.9996322649357677,0.9992648002302701,0.0,0.9992648002302701,,,
9ed9909aa9b1,A,multiclass,2017,improved,day_ordered,dropped,logreg,23,1184422,576714,85,3,34.1,0.33321075497858926,0.9996322649357677,0.9992648002302701,0.0,0.9992648002302701,,,
c0bb5b36cb04,A,multiclass,2017,improved,day_ordered,dropped,logreg,37,1184422,576714,85,3,34.0,0.33321075497858926,0.9996322649357677,0.9992648002302701,0.0,0.9992648002302701,,,
766cfb4aa32e,A,multiclass,2017,improved,day_ordered,dropped,logreg,51,1184422,576714,85,3,34.1,0.33321075497858926,0.9996322649357677,0.9992648002302701,0.0,0.9992648002302701,,,
1b0b2ce2140e,A,multiclass,2017,improved,day_ordered,dropped,logreg,73,1184422,576714,85,3,34.1,0.33321075497858926,0.9996322649357677,0.9992648002302701,0.0,0.9992648002302701,,,
dd6857c4385b,A,multiclass,2017,improved,day_ordered,dropped,random_forest,11,1184422,576714,85,3,86.9,0.4999986995253267,0.9999973990506534,0.9999947981148368,0.0,0.9999947981148368,,,
496bb38b01f1,A,multiclass,2017,improved,day_ordered,dropped,random_forest,23,1184422,576714,85,3,84.8,0.4999995665091939,0.9999991330183877,0.9999982660382789,0.0,0.9999982660382789,,,
02361867e39b,A,multiclass,2017,improved,day_ordered,dropped,random_forest,37,1184422,576714,85,3,85.5,0.4999995665091939,0.9999991330183877,0.9999982660382789,0.0,0.9999982660382789,,,
75a4be310c73,A,multiclass,2017,improved,day_ordered,dropped,random_forest,51,1184422,576714,85,3,87.2,0.4999995665091939,0.9999991330183877,0.9999982660382789,0.0,0.9999982660382789,,,
761e57078434,A,multiclass,2017,improved,day_ordered,dropped,random_forest,73,1184422,576714,85,3,85.1,0.4999995665091939,0.9999991330183877,0.9999982660382789,0.0,0.9999982660382789,,,
483fbdd4ae07,A,multiclass,2017,improved,day_ordered,dropped,xgboost,11,1184422,576714,85,3,38.5,0.333331310365715,0.999993931097145,0.9999878622679526,0.0,0.9999878622679526,,,
f9e1f985a921,A,multiclass,2017,improved,day_ordered,dropped,xgboost,23,1184422,576714,85,3,38.1,0.333331310365715,0.999993931097145,0.9999878622679526,0.0,0.9999878622679526,,,
e15f68a2f641,A,multiclass,2017,improved,day_ordered,dropped,xgboost,37,1184422,576714,85,3,38.5,0.333331310365715,0.999993931097145,0.9999878622679526,0.0,0.9999878622679526,,,
aa610428c8c8,A,multiclass,2017,improved,day_ordered,dropped,xgboost,51,1184422,576714,85,3,37.1,0.333331310365715,0.999993931097145,0.9999878622679526,0.0,0.9999878622679526,,,
610919d782dc,A,multiclass,2017,improved,day_ordered,dropped,xgboost,73,1184422,576714,85,3,35.7,0.333331310365715,0.999993931097145,0.9999878622679526,0.0,0.9999878622679526,,,
103b7048ffee,B,multiclass,2017,label_original,random_70_30,n/a,logreg,11,1123493,481497,72,,,0.6516258686462232,0.9822309665832838,0.6497477423422577,0.9447352064752217,0.9817818179552521,,,
e69db6e9c0c8,B,multiclass,2017,label_original,random_70_30,n/a,logreg,23,1123493,481497,72,,,0.6978626663820806,0.9819562110660144,0.6760369509261391,0.9439420097956209,0.9814495209731318,,,
873d97cea647,B,multiclass,2017,label_original,random_70_30,n/a,logreg,37,1123493,481497,72,,,0.6896646669799578,0.9816968502480508,0.6672590299885098,0.9430973520760876,0.9812169130856475,,,
ed85e753f08e,B,multiclass,2017,label_original,random_70_30,n/a,logreg,51,1123493,481497,72,,,0.6975409241669781,0.9819003974414358,0.672523321764835,0.9437200482924042,0.9814329061240257,,,
1992497e8a87,B,multiclass,2017,label_original,random_70_30,n/a,logreg,73,1123493,481497,72,,,0.7164069416478761,0.9822403696618265,0.7109370228378331,0.9448393839694623,0.981765203106146,,,
7221837ba38b,B,multiclass,2017,label_original,random_70_30,n/a,random_forest,11,1123493,481497,72,,,0.8517922129842673,0.9999112149647437,0.8256986083352064,0.999726217744393,0.9999148488983317,,,
8021db06d70e,B,multiclass,2017,label_original,random_70_30,n/a,random_forest,23,1123493,481497,72,,,0.8689571706080309,0.9999151932297902,0.8528407565084217,0.9997328661383098,0.9999169257544699,,,
507a46642b39,B,multiclass,2017,label_original,random_70_30,n/a,random_forest,37,1123493,481497,72,,,0.870779824028382,0.9999434597293891,0.8581664729809853,0.999833038179359,0.9999480785965437,,,
169893436cc1,B,multiclass,2017,label_original,random_70_30,n/a,random_forest,51,1123493,481497,72,,,0.8720465904202493,0.9999164200528197,0.8593367896301225,0.9997462045637274,0.9999210794667465,,,
e23d3b33d234,B,multiclass,2017,label_original,random_70_30,n/a,random_forest,73,1123493,481497,72,,,0.8761181410535495,0.9999197829729856,0.8652706131168437,0.9997462776347086,0.9999210794667465,,,
d151d321dda5,B,multiclass,2017,label_original,random_70_30,n/a,xgboost,11,1123493,481497,72,,,0.8245188717876444,0.9998740217521906,0.7995581006931861,0.9995993599703922,0.9998753886317049,,,
ccbe26476069,B,multiclass,2017,label_original,random_70_30,n/a,xgboost,23,1123493,481497,72,,,0.7963793102131486,0.9998413852197112,0.7923242609551414,0.9994925126445576,0.9998421589334928,,,
88ea9eaf8cec,B,multiclass,2017,label_original,random_70_30,n/a,xgboost,37,1123493,481497,72,,,0.6279480935203589,0.9985574116892468,0.6321051141162795,0.9951457118601631,0.9984901255874907,,,
c7deb82c4e1b,B,multiclass,2017,label_original,random_70_30,n/a,xgboost,51,1123493,481497,72,,,0.8539277977527429,0.999795111055001,0.8076725536854149,0.9993521056587847,0.9997985449545895,,,
d9f5b1e29835,B,multiclass,2017,label_original,random_70_30,n/a,xgboost,73,1123493,481497,72,,,0.6870034627261068,0.9992749599910529,0.6817924607938829,0.9976433755319728,0.999266869783197,,,
6b6fbb7bb557,B,multiclass,2017,label_original,day_ordered,n/a,logreg,11,891643,533343,72,,,0.3328601712020759,0.9985805136062278,0.9971650513834437,0.0,0.9971650513834437,,,
40a790962697,B,multiclass,2017,label_original,day_ordered,n/a,logreg,23,891643,533343,72,,,0.3328601712020759,0.9985805136062278,0.9971650513834437,0.0,0.9971650513834437,,,
